Date	Client File Number	Client File Merge	Bus Tickets (Number of)	Notes of Service	Food Provided for	Food Pounds	Clothing Items	Diapers	School Kits	Hygiene Kits	Referrals	Financial Support	Type of Bill Paid	Payer of Support	Field1	Field2	Field3
1/22/2009	212	0			3	20	5				1	0.00					
1/29/2009	738	0			4	25	26	12			1	0.00					
1/20/2009	3455	0			6	40	39	12			1	0.00					
11/26/2002	1804	21804			4						Baby Love	0.00					
12/2/2002	1806	21806			3						Baby Love	0.00					
10/10/2002	1614	21614		financial referral							DSS	0.00					
9/26/2002	1758	21758		Financial Referral							DSS	0.00					
2/19/2008	1814	0			0	0	0			1	Family Kit	0.00					
10/10/2002	522	20522		greyhound ticket							financial	15.75					
9/4/2002	1356	21356	10									0.00					
7/15/2002	527	20527	8		0		0	0	0	0							
2/18/2003	1222	21222	8	Financial Assistance								150.00					
8/26/2002	1356	21356	8									0.00					
10/9/2002	1591	21591	8									0.00					
7/2/2002	1232	21232	7		0		0	0	0	0							
9/23/2002	237	20237	6		5					1		0.00					
8/13/2002	534	20534	6	Bus tickets								0.00					
9/26/2002	685	20685	6		1					1		0.00					
7/16/2002	1205	21205	6		1		0	0	0	0							
3/3/2003	127	20127	5	bus tickets								0.00					
7/2/2002	533	20533	5									0.00					
6/28/2002	631	20631	5		0		0	0	0	0							
8/15/2011	1513	15	5			0						0.00					
9/15/2002	111	20111	4									0.00					
7/18/2002	466	20466	4		4		5					0.00					
8/26/2002	534	20534	4									0.00					
11/25/2002	808	20808	4		4							0.00					
8/7/2002	1153	21153	4	Bus tickets													
7/24/2002	1205	21205	4		1							0.00					
9/17/2002	1205	21205	4									0.00					
7/16/2002	1207	21207	4	other	0		0	0	0	0							
7/17/2002	1223	21223	4		0		0	0	0	0							
7/17/2002	1226	21226	4		0		9	0	0	0							
9/17/2002	1261	21261	4									0.00					
7/30/2002	1301	21301	4									0.00					
8/6/2002	1301	21301	4	"Clothes, bus tickets"													
8/7/2002	1301	21301	4	Clothing			1										
8/22/2002	1301	21301	4		1		2					0.00					
8/5/2002	1341	21341	4	"Bus tickets, food"	1												
8/7/2002	1377	21377	4	Bus tickets								0.00					
8/13/2002	1377	21377	4	Bus tickets								0.00					
8/19/2002	1382	21382	4	"Bus tickets, hygiene"				12				0.00					
8/22/2002	1426	21426	4									0.00					
10/2/2002	1578	21578	4				6					0.00					
10/22/2002	1591	21591	4							1		0.00					
10/29/2002	1591	21591	4							1		0.00					
10/9/2002	1608	21608	4				2					0.00					
11/1/2002	1696	21696	4									0.00					
7/17/2002	2425	22425	4				9					0.00					
8/2/2002	210	20210	3	Bus tickets													
7/15/2002	1261	21261	3		0		0	0	0	0							
11/18/2002	1749	21749	3		1							0.00					
9/16/2002	21	20021	2									0.00					
10/22/2002	21	20021	2									0.00					
9/12/2002	64	20064	2							1		0.00					
8/13/2002	122	20122	2	Bus tickets								0.00					
7/15/2002	388	20388	2		0		0	0	0	0							
7/8/2002	398	20398	2		5		0	0	0	0							
