EE Provider ID	EE UID	Client Unique ID	Client ID	Entry Exit Group Id	Entry Exit Household Id		Entry Date	Housing Move-in Date(5584)	Exit Date	Destination	Reason for Leaving	Entry Exit Type	Entry Exit Date Added	Entry Exit Date Updated
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687901	pbkf09291954p610b236	397941				8/15/2015	4/20/2015	7/11/2016	Rental by client, with other ongoing housing subsidy (HUD)	Completed program	HUD	8/19/2015	7/20/2016
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687902	kdaf01071967k400d635	130335				8/15/2015		8/31/2015	Data not collected (HUD)	Needs could not be met	HUD	8/19/2015	9/3/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687903	smrf06211973s620m640	188933				8/15/2015		9/19/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/19/2015	9/22/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687904	abrm07251958a416b600	168290				8/15/2015		3/7/2016	Hospital or other residential non-psychiatric medical facility (HUD)	Other	HUD	8/19/2015	3/8/2016
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687905	wbom01251964w450b620	123122				8/15/2015		8/24/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/19/2015	8/25/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687907	tmjm08061985t520m230	363382				8/15/2015		10/29/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/19/2015	10/30/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687909	ctnm05251964c642t534	165730				8/15/2015		9/6/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/19/2015	9/8/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687911	rcam05241959r200c620	291392				8/15/2015		8/22/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/19/2015	8/24/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687912	fcrm05091955f652c632	359808				8/15/2015		10/29/2015	Rental by client, with VASH housing subsidy (HUD)	Completed program	HUD	8/19/2015	11/2/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687913	ream02291956r200e152	385539				8/15/2015		9/23/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/19/2015	9/24/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687914	mgam05151964m240g600	360237				8/15/2015		10/8/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/19/2015	10/9/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687951	kmlm12231983k150m420	403745				8/15/2015		8/25/2015	Staying or living with friends, temporary tenure (HUD)	Other	HUD	8/19/2015	8/26/2015
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687967	vgef12111970v452g450	404039				8/15/2015		10/5/2015	Rental by client, no ongoing housing subsidy (HUD)	Left for housing opp. before completing program	HUD	8/19/2015	10/19/2015
