EE Provider ID	EE UID	CoC Code	Program Type Code	Provider County	Entry Exit Provider Area
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687901	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687902	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687903	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687904	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687905	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687907	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687909	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687911	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687912	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687913	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687914	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687951	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687967	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687968	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687969	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687970	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687973	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687974	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687975	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	687982	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688348	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688349	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688350	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688352	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688353	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688357	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688359	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688361	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688362	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688363	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688365	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688366	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688367	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688368	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688369	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688370	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688371	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688372	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688378	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688395	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688396	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688397	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688398	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688403	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688405	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688406	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688408	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688410	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688413	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688414	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688415	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688416	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688417	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688418	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688419	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688420	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688427	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688496	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688497	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688498	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688502	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688503	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688505	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688506	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688532	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688561	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688562	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688564	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688566	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688569	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688570	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688571	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688572	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688721	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688722	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688723	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688724	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688726	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688727	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688728	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688729	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688731	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688733	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688734	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688735	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688737	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688740	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688750	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688751	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688752	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688753	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688754	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688755	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688756	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688757	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688767	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688768	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688770	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688777	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688780	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688782	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688784	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688785	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688788	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688796	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688797	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688800	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688803	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688804	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688805	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688806	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688807	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688813	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688821	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688825	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688827	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688829	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688830	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688831	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688832	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688833	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688834	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688835	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	688836	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689310	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689313	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689314	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689315	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689316	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689317	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689728	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689730	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689731	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689733	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689734	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689735	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689736	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689741	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	689745	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	690106	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	690107	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	690108	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	690618	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	690620	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	690621	NC-502	Emergency Shelter (HUD)	Durham	Durham
Urban Ministries of Durham - Durham County - Singles Emergency Shelter - Private(5838)	690623	NC-502	Emergency Shelter (HUD)	Durham	Durham
